År,Måned,Startlager,Etterspørsel,Salg,Restordre (stockout),Sluttlager,Svinn,Kategori,Dato_Sortering,Kostnad_Lagerkostnad,Kostnad_Stockout-kostnad,Bestilt_kvantum,Dato_bestilt,Dato_mottatt,Leverandør_navn,Supp_Ledetid (dager),Supp_Ledetid varians,Supp_Kapasitet (maks/måned),Supp_Enhetspris,Supp_Fast bestillingskostnad,Supp_Risiko (stockout),Supp_Transportkostnad,month,monthly_mean,monthly_std,z_score,Er_Kampanje
2022,August,226,355,219,136,0,7,Norske barnebøker,2022-08-01,6,75,411,2022-08-02,2022-09-20,Forlagssentralen,3,Lav,600,145,250,Lav,15,8,342.8,11.519548602267365,1.0590692761692668,False
2022,September,411,317,317,0,83,11,Norske barnebøker,2022-09-01,6,75,364,2022-09-06,2022-10-27,Forlagssentralen,3,Lav,600,145,250,Lav,15,9,291.4,26.557484820667796,0.9639467055282799,False
2022,Oktober,447,336,336,0,97,14,Norske barnebøker,2022-10-01,6,75,365,2022-10-09,2022-11-17,Forlagssentralen,3,Lav,600,145,250,Lav,15,10,301.4,42.547620379993056,0.8132064658607746,False
2022,November,462,230,230,0,220,12,Norske barnebøker,2022-11-01,6,75,341,2022-11-09,2022-12-28,Forlagssentralen,3,Lav,600,145,250,Lav,15,11,257.8,18.471599822430107,-1.5050131156610704,False
2022,Desember,561,397,397,0,148,16,Norske barnebøker,2022-12-01,6,75,412,2022-12-12,2022-13-26,Forlagssentralen,3,Lav,600,145,250,Lav,15,12,382.8,21.05231578710523,0.6745101177276489,False
2023,Januar,560,253,253,0,289,18,Norske barnebøker,2023-01-01,6,75,0,,,,3,Lav,600,145,250,Lav,15,1,262.2,28.865203966021095,-0.318722847440463,False
2023,Februar,289,258,258,0,22,9,Norske barnebøker,2023-02-01,6,75,324,2023-02-14,2023-03-17,Forlagssentralen,3,Lav,600,145,250,Lav,15,2,217.0,37.32961290986019,1.0983237382879565,False
2023,Mars,346,254,254,0,83,9,Norske barnebøker,2023-03-01,6,75,326,2023-03-12,2023-04-20,Forlagssentralen,3,Lav,600,145,250,Lav,15,3,240.6,19.994999374843704,0.6701675628386835,False
2023,April,409,250,250,0,147,12,Norske barnebøker,2023-04-01,6,75,339,2023-04-07,2023-05-26,Forlagssentralen,3,Lav,600,145,250,Lav,15,4,245.8,30.35127674415032,0.1383796812043324,False
2023,Mai,486,288,288,0,184,14,Norske barnebøker,2023-05-01,6,75,357,2023-05-01,2023-06-20,Forlagssentralen,3,Lav,600,145,250,Lav,15,5,281.0,15.182226450688972,0.4610654453571491,False
2023,Juni,541,285,285,0,241,15,Norske barnebøker,2023-06-01,6,75,0,,,,3,Lav,600,145,250,Lav,15,6,280.8,21.19433886678233,0.19816612475620107,False
2023,Juli,241,327,234,93,0,7,Norske barnebøker,2023-07-01,6,75,342,2023-07-11,2023-08-19,Forlagssentralen,3,Lav,600,145,250,Lav,15,7,344.4,24.04786892845185,-0.7235568378956626,False
2023,August,342,348,332,16,0,10,Norske barnebøker,2023-08-01,6,75,304,2023-08-02,2023-09-20,Forlagssentralen,3,Lav,600,145,250,Lav,15,8,342.8,11.519548602267365,0.4514065767278837,False
2023,September,304,250,250,0,46,8,Norske barnebøker,2023-09-01,6,75,374,2023-09-04,2023-10-28,Forlagssentralen,3,Lav,600,145,250,Lav,15,9,291.4,26.557484820667796,-1.5588825628465128,False
2023,Oktober,420,271,271,0,138,11,Norske barnebøker,2023-10-01,6,75,286,2023-10-08,2023-11-25,Forlagssentralen,3,Lav,600,145,250,Lav,15,10,301.4,42.547620379993056,-0.7144935422591767,False
2023,November,424,267,267,0,145,12,Norske barnebøker,2023-11-01,6,75,361,2023-11-12,2023-12-27,Forlagssentralen,3,Lav,600,145,250,Lav,15,11,257.8,18.471599822430107,0.49806189439143256,False
2023,Desember,506,368,368,0,124,14,Norske barnebøker,2023-12-01,6,75,314,2023-12-11,2023-13-27,Forlagssentralen,3,Lav,600,145,250,Lav,15,12,382.8,21.05231578710523,-0.7030105452372689,False
2024,Januar,438,293,293,0,132,13,Norske barnebøker,2024-01-01,6,75,389,2024-01-04,2024-02-18,Forlagssentralen,3,Lav,600,145,250,Lav,15,1,262.2,28.865203966021095,1.0670286631702472,False
2024,Februar,521,234,234,0,271,16,Norske barnebøker,2024-02-01,6,75,0,,,,3,Lav,600,145,250,Lav,15,2,217.0,37.32961290986019,0.45540252563159167,False
2024,Mars,271,251,251,0,12,8,Norske barnebøker,2024-03-01,6,75,344,2024-03-13,2024-04-23,Forlagssentralen,3,Lav,600,145,250,Lav,15,3,240.6,19.994999374843704,0.5201300487703215,False
2024,April,356,247,247,0,98,11,Norske barnebøker,2024-04-01,6,75,363,2024-04-13,2024-05-23,Forlagssentralen,3,Lav,600,145,250,Lav,15,4,245.8,30.35127674415032,0.03953705177266613,False
2024,Mai,461,257,257,0,191,13,Norske barnebøker,2024-05-01,6,75,342,2024-05-03,2024-06-27,Forlagssentralen,3,Lav,600,145,250,Lav,15,5,281.0,15.182226450688972,-1.5807958126530826,False
2024,Juni,533,277,277,0,239,17,Norske barnebøker,2024-06-01,6,75,0,,,,3,Lav,600,145,250,Lav,15,6,280.8,21.19433886678233,-0.17929316049370675,False
2024,Juli,239,320,232,88,0,7,Norske barnebøker,2024-07-01,6,75,387,2024-07-09,2024-08-23,Forlagssentralen,3,Lav,600,145,250,Lav,15,7,344.4,24.04786892845185,-1.0146429221065616,False
2024,August,387,350,350,0,26,11,Norske barnebøker,2024-08-01,6,75,342,2024-08-12,2024-09-20,Forlagssentralen,3,Lav,600,145,250,Lav,15,8,342.8,11.519548602267365,0.6250244908539931,False
2024,September,368,295,295,0,61,12,Norske barnebøker,2024-09-01,6,75,299,2024-09-04,2024-10-22,Forlagssentralen,3,Lav,600,145,250,Lav,15,9,291.4,26.557484820667796,0.13555500546491508,False
2024,Oktober,360,303,303,0,46,11,Norske barnebøker,2024-10-01,6,75,310,2024-10-07,2024-11-22,Forlagssentralen,3,Lav,600,145,250,Lav,15,10,301.4,42.547620379993056,0.03760492327679934,False
2024,November,356,248,248,0,99,9,Norske barnebøker,2024-11-01,6,75,335,2024-11-13,2024-12-25,Forlagssentralen,3,Lav,600,145,250,Lav,15,11,257.8,18.471599822430107,-0.5305441918517446,False
2024,Desember,434,409,409,0,11,14,Norske barnebøker,2024-12-01,6,75,400,2024-12-13,2024-13-25,Forlagssentralen,3,Lav,600,145,250,Lav,15,12,382.8,21.05231578710523,1.2445186679200286,False
2025,Januar,411,247,247,0,153,11,Norske barnebøker,2025-01-01,6,75,399,2025-01-14,2025-02-22,Forlagssentralen,3,Lav,600,145,250,Lav,15,1,262.2,28.865203966021095,-0.5265855740320695,False
2025,Februar,552,237,237,0,299,16,Norske barnebøker,2025-02-01,6,75,0,,,,3,Lav,600,145,250,Lav,15,2,217.0,37.32961290986019,0.5357676772136373,False
2025,Mars,299,260,260,0,30,9,Norske barnebøker,2025-03-01,6,75,311,2025-03-07,2025-04-23,Forlagssentralen,3,Lav,600,145,250,Lav,15,3,240.6,19.994999374843704,0.9702425909754073,False
2025,April,341,230,230,0,102,9,Norske barnebøker,2025-04-01,6,75,374,2025-04-13,2025-05-22,Forlagssentralen,3,Lav,600,145,250,Lav,15,4,245.8,30.35127674415032,-0.5205711816734426,False
2025,Mai,476,286,286,0,175,15,Norske barnebøker,2025-05-01,6,75,355,2025-05-15,2025-06-22,Forlagssentralen,3,Lav,600,145,250,Lav,15,5,281.0,15.182226450688972,0.3293324609693922,False
2025,Juni,530,257,257,0,257,16,Norske barnebøker,2025-06-01,6,75,0,,,,3,Lav,600,145,250,Lav,15,6,280.8,21.19433886678233,-1.1229413736184763,False
2025,Juli,257,363,250,113,0,7,Norske barnebøker,2025-07-01,6,75,305,2025-07-05,2025-08-22,Forlagssentralen,3,Lav,600,145,250,Lav,15,7,344.4,24.04786892845185,0.7734573094746757,False
2025,August,305,330,297,33,0,8,Norske barnebøker,2025-08-01,6,75,326,2025-08-13,2025-09-22,Forlagssentralen,3,Lav,600,145,250,Lav,15,8,342.8,11.519548602267365,-1.1111546504071017,False
2025,September,326,284,284,0,33,9,Norske barnebøker,2025-09-01,6,75,346,2025-09-12,2025-10-24,Forlagssentralen,3,Lav,600,145,250,Lav,15,9,291.4,26.557484820667796,-0.2786408445667673,False
2025,Oktober,379,349,349,0,20,10,Norske barnebøker,2025-10-01,6,75,311,2025-10-02,2025-11-28,Forlagssentralen,3,Lav,600,145,250,Lav,15,10,301.4,42.547620379993056,1.118746467484765,False
2025,November,331,274,274,0,49,8,Norske barnebøker,2025-11-01,6,75,308,2025-11-01,2025-12-25,Forlagssentralen,3,Lav,600,145,250,Lav,15,11,257.8,18.471599822430107,0.8770220314283926,False
2025,Desember,357,383,348,35,0,9,Norske barnebøker,2025-12-01,6,75,346,2025-12-02,2025-13-25,Forlagssentralen,3,Lav,600,145,250,Lav,15,12,382.8,21.05231578710523,0.00950014250320579,False
